sentences,value
a lot of people think that i m chinese japanese korean mata sipit kulit putih langsat while in fact keluarga gaada darah cina banget dibercandain lahir ketuker anak,0
gin klo pas sekolah agung jurus science pas kasi konsep ekonomi jeplak enak udel,0
temen sd katolik pintar juara mana umptn kecuali juara cm semester ui,0
pm heh bajing duduk duduk telat konstruksi marah muka serius,1
didik mukrianto pilkada langsung demokrat jadi perppu era sby acu,0
pacar gapernah agama muslim hindu budha lucu yaa,0
lesbi anjir,1
lepastu expect lepas tangan kerja lecturer apelancau sial cina ni,1
sehat om klo sehat minum kencing onta,1
beneran admin akun resmi coba donk kasih training ttg ekonomi biar tweet admin goblok pengaruh citra partai loh,1
cocot rusak,1
saksi tani masyarakat ulama perintah dukung program kapalkemanusiaan suriah ton beras ahyudin presiden act yuk simak jelas lengkap video letshe,0
afwan ust santer dengar ust am agen yahudi,0
sok polos genit kaya banci,1
udik gabisa pecahin balon wkwk,1
hahahahahahah malu aku kenerja presiden,0
rocky gerung kitab suci fiksi,0
brengsek tau mampus,1
duli oceh laki laki depan temu laki laki ui luas sekian mahasiswa alan bodo denger pake headset duli ikut langkah kaki,1
monyet pas diupi mas hidup yi wkwk,0
enak lg klo smbil ngewe,1
alhamdulillah tinggal komplek warga bodo amat kumpul nge gosip komplek rumah sepi banget pliss,0
jancuk bahagia,1
islam nusantara produk jil pasar dg gencar antek jil jil anti arab pro aseng alm kh hasyim muzadi jil kafir kafir umat isla,1
pala konten lucu konten bokep tetek tempik anjay,1
laku bani onta ekstrak tinja ngoaaahahaaaaa salam pks jahat kelamin syariah,1
mari ngewe,1
saranin bnyk bacot maling ayat langsung to the point paham teriakin kafir sesat liberal puja dukun bla blaaa hati puas dehh,1
heran deh yaa capek lari lari pikir,0
dasar hukum,0
colorburn ubah ubah warna malem putih siang jungle kayak gitu fishermen ungu oranye grafik kiri oranye item gelap ireng sangar wkwkwkwkw,0
ribut bom barel dah,0
baca sarap kali,1
kembang hukum kait nista agama,0
ah perkosa pls anjirr udh canda lg shok bngt dengernya jijik,1
kyulkyung visual edan,1
alkohol haram salah guna agama,0
panwaslu garut terima lapor langgar pilkada,0
output kecewa,0
papar kapolres bikin kapolda kepri pilkada tanjungpinang aman netral,0
untung presiden jokowi beliau bandara mangkrak jalan terimakasih presiden salam priode,0
finis anggap sbg wanita ikut syariat agama pikir bebas terima kodrat turut laki cewek murah suka umbar aurat hijab tp niat sok an juang wanita pad,0
rohingya muslim rescued at sea off sumatra indonesia expat,0
tolol perintah rezim komunis bobrok koruptor pimpin sidang dpr paya cebong,1
mas tolong sebut kitab suci agama fiksi,0
andai harto indonesia negara komunis ideologi benci,0
perempuan bangsa menang sudirman said ida fauziyah sawerandirmanida saweranjateng,0
musik milenial emang sampah mending bilang tua indie idiot maksud km indie musik modern indie asal musik independent bro arti musisi mnggntung nasib fihak mandiri musisi old udh indie,1
sikap keras cina kafir,1
byk paslon lbh bagus krn paslon mka cenderung konflik akar rumput smakin trbuka ttp jg hrs sdar bhw pt sdh sjk sby brkuasa jd trs pojok koalisi pndkung jkowi brarti mata ka,0
anak istri dpat tolong lupa tuhan tuhan saint tehnology skrng bangsa e,0
ken nanya emgnya tuli bisu cacat kasar bang onyol knp jd,0
dasar ulama cebong,1
aje idiot bela lgbt pura cewe tulen njg malsuin identitas takut laku trans women a k a bencong laku tuh kocak banding buruk bikin salah,1
sabtu pagi masyarakat adat baduy lanjut jalan kantor gubernur banten kawasan pusat perintah provinsi banten kp b curug kota serang sebabaduy dw,0
bajar babi ngepet malam pakai lilin hemat listrik,0
klo provo liat dlulah hahaha zaman umat katolik mudah diprovo bgini tinggal abad gelap abad silam t,0
buka twitter informasi denger denger benda curiga duga bom temu barel ui stay save kang warteg enak kang cilung anak kost warga barel,0
why me gendut tuh pipi doankkkk anjrttt ketok lemu cm nde pipiii aaaaa jelek,1
he cok wes kuliah iku utek e digawe mbok pikir koyok ngono iku bener ta mikir kon lek ngono iku jenenge nyikso hewan goblok ngisin ni kampus cok asu,1
maju asu,1
perang salib raja afrika bagi babilonia peluk kristen tobaco peluk islam,0
random ken gereja kristen rambut botak botakin pake obat tumbuh rambut kerja piston gimana lg random,0
tim baldegaketolong gmn om dog berani sarkasin om bandidog mental bencong kah sok sok sm ngejilat mulu elo om bandidog emg mental ngemis sm ngejilat dr dl ttp yaa bantu repost saran bantu repost awkwk https t co p gwoqveny,1
bang kristen istri muslim strategi,0
cinta ustadz ahlussunnah pabila gelincir kpd salah merta benar nasihat benar sabar taklid buta tinggal benar sikap,0
zonk bacot,1
ah bacot dasar sok alim manusia sempurna sok alim,1
tegur ngomong cebong kampret berani tegur tuh ngomong kutil babi jokodok,1
tuh profesor knp kristen katolik nusantara,0
rribantensiangini kpu pangkalpinang tetap dpt pilkada,0
temu indikasi manipulasi suara,0
silang dapat ulama tp silang dapat salat meni,0
pasutri soleh solehah ngaji yegak mabar pubg untung ngatain pasutri yahudi,0
hahahaha anak monyet ngerto dongo baca dt efilnikcufecin turun monyet dongo,1
monyet hitam sulawesi,0
keren mas survei bo rangkap kordinator cebong yah tl bnyk dukung dr bani cebong mantrraaaf,1
tolol njink,1
jd simpul bego v,1
wkwkwkkwkwkwwk,0
jgn cowo trus cowo isi ngeluh gapunya duit pinjem duit mulu udh scam beda versi bule miskin gausah cinta an kerja gembel,0
madinah negara pimpin rasulullah lanjut khulafur rasyidin bukti rasul kirim surat negara janji dg negara atur ekonomi masyarakat jihad lawa,0
bikin berita medsos media mainstream kuasa aseng perang opini hp mengembosi berita media mainstream cino,0
allah swt dungu biadab tuhan kerjaaan hobi urus putar cocok penis,1
mah tetep anti cina gara gara ngga sipit putih kayak wkwkwk,0
masyarakat sastrawan lestari budaya hilang buka mata kepala calon pilih pimpin bangsa,0
semalem nonton kafir mbah keren wali,0
pdhl kebaya lestari budaya salah biar corat coret,0
pemaen liga inggris regulasi batas pemaen aseng haduh,0
partai dukung ppp gelar munas ulama cari cawapres jokowi,0
baca pesan asing kali putus hubung istri mari coba temu dengan gumpal omong kosong bunuh,0
jamin emang hidup tenang sm bahagia klo ganti presiden,0
perek dimainin memek longrep,1
tolol bingung,1
hahaha saranin show topeng monyet keliling kampung bapaklu spy dongo monyet,1
mampir tulis baru beranitraveling,0
stupid idiot coba negeri bbm protes,1
aq mojok jamban nyari lampu hahahah exoonburjkhalifa exo,0
nusantara asing,0
hinata sontak kejut kerjap untung ajar bahasa asing erti arti ucap sosok temu ah selamat malam nama hyu,0
ajar giat penuh dedikasi lulus uji idiot tweetdsap,0
usaha damai slogan big is beautiful gendut sumber dapat besar negara okok,0
ampe dikatain kampang mah anggep canda,1
religius tp suka miris liat ngakunya religius tp ngelive instagram facebook ibadah mending duduk luar minum bir cerita kotor jujur mu,0
iya bener jokowi ninggalin solo kafir solo keren bersih jokowi ninggalin jkt kafir jakarta keren sungai bersih skrng kerja nda becus tanah abang ruwet parah kali,0
senja plantaran rindu sendu mngapa bisu jejaku kikis ombak biar krn bekas mnjadi candu mnyusahkanmu mnghapus rindu rindu batas jingga,0
wes ngalahi nggo tank jebule fighter assasin edan rak waras,1
bs pake buruh cina rakyat bnyak pngangguran dasar rejim kodok,1
sudirman said kritik perintah telantar kawasan industri sawerandirmanida sawerandirmanida saweranjateng,0
main taplak cadang mah bocah,0
nurul arifin goyah hadap survei bandunggeulis bandungharmonis bandungvotenuruli calonwalikotabandung calonwalikotabandung,0
pake muka lesbi anjir,1
bain tuyul kembar bawa bawa mental health bego tolol ngentot https t co kwema qjdz,0
ide unik sejarah indonesia kumpul impi masyarakat propinsi indonesia,0
cantik jago ngemut alias nyepong kontol toketnya liat bikin sange ken kontol kaya gitu,1
warga puter tolak berita hoax dukung pilkada damai,0
maju anjing ni stail ah lepastu tu reply gung gung gung gunggg,1
dengar ibnul mubarak dia mohon allah tunjuk islam yahudi itu izin allah masuk islam,0
screenshot udh lupa kuposting ketawa siri budek dengernya bunggus,1
siswa tolak berita hoax pilkada kota diri jalan damai,0
tolong jwb dl temen bilang debat or ksh erti sm cebong kacung krn dungu sm tulang rusuk bener,1
langsung tampak alloh subhanahu wata ala kontan om alloh subhanahu wata ala larang putus asa bangsa kafir paham,0
haha iya gembrot kseeeel gmz,1
provinsi gorontalo visi misi gubernur jadi sektor ikan laut salah program prioritas tingkat ekonomi rakyat mana bangun sektor ikan laut harap,0
hasil rezim nyata adlh bikin infografis sempurna dukung puja puji tiada henti pdhl fakta lapang sesuai infografis,0
sempat presiden negara ekonomi kuat perkara mudah tantang uji hadap penuh yakin optimisme jokowiajakmasyarakatoptimistis,0
mucikari psk ciduk wisma camat arut utara,0
akibat duk hadir jamu raya ni paksa main elliptical machine utk kekal fit bakar kalori nasihat trainer kena kuat sihat utk lawan rejim zalim ph,0
skali malu malu tuh udh so jd okb tpi nihil prestasi kena denda malu bgd dasr cina bloon ky gtu tuh,1
hahaha mata picek a,1
temanpemilih kpu kabupaten bangka selamat ulang korpri satu daulat korpri wujud indonesia maju kpuri kpukabupatenbangka kpumelayani https t co ysjrohckau,0
koruptor teroris langgar ham berat koruptor bunuh rakyat pelan bikin rakyat miskin bodoh hilang hak struktur sistematis rakyat msh bnyk kurang gizi lapar dpr sibuk korupsi,0
om cm gede cocot doank kualitas,1
kemarin ken nanya nggak enak anies sandi kuasa dki dengar,0
woo kapir kapir nyebut kapir hina hahahah saking kerdil otak ngatain islam ngatain agama spesifik dasar kaum intoleran sara munafik kapir goblok ganti to,1
sabar tenang tunggu komando habibana habib rizieq umat islam solid satu kecoh adu domba cebong menang adil makmur presidenbaru pilkada jakarta,1
biar biar tai kena loh tuh suka sm ahok biar loh sm bpk loh sm loh kena tai,1
bani oplos ngga ken bikin demo btw kitab umat islam lhoh,1
setan,1
setan siang siang temen kyk setan ajak makan aq nitip aj,1
zaman now agalanya data sdh klaim kasi klaim repot ganti presiden ntar jg tau makhluk jago mlintir fakta haizz hidup kog nyari derita kerja woi biar dapur bs n,0
perintah otak bokong,1
kandung ekstrak lidah buaya kandung alkohol milik manis reaksi obat,0
maksud domba idiot akun,1
skrg tanya athea tepung roti jala qayyum ni nk haih takadacintasepertimu kahkhakkah macik min kecoh gila,0
ideal tp tutup jd presiden dunia khayal,0
aelah anak anak kasih ajar cinta lingkung ngerusak generasi tua bangka rakus nyuruh anak indonesia ajar tua laku kek setan,0
tsrm hakim sebab mahkamah sekutu putus tukar agama anak guru tadika m indira gandhi muhammad ridhuan abdullah hindu islam batal sah sisi undang un,0
heran setan iblis kabur takut dengar azhan mahluk allah anteng denger azhan pura budek kuping kalah setan iblis,1
bantu share lur,0
sore kak saiful restart modem stb mimin cek jaring koneksi lambat tunggu kabar baik thx ardil,0
ntu suruh baca lks biologi liat gambar doang gambar macan gambar bunga bangkai gambar organ tubuh hehe,0
opini marah marah marah egois marah ken dengar abai dapat kayak bodo woi u pd dengerin w,0
dah masal kena kutuk group hahaha kampang nye,1
guru silabus ajar sadar jaga hutan jadi tua bangka serakah gundul hutan,0
mana sistem pilih langsung incumbent untung jabat presiden batas th pimpin presiden,0
goblok nnton acara ny malam ad beliau islam fiksi ad bukti video ny islam kafir islam banget fitnah muslim kafir heran,1
allah swt ngoceh tiada bagi lindung tolong allah tolong sembah,1
sepakat papres ganti labih dasn sayang ulama rakyat,0
tugas imigrasi negeri negara periksa dalam dulunya paspor tki bukti sbg turis knp takut korea selatan b,0
hah heh hoh cucu haji bolot,0
manusia makan utk hidup hewan hidup utk makan ternak mulyono cebong masuk jenis hewan,1
nggak bank asing atur usaha perintah atur usaha sbg milik saham utang bayar dr untung freeport,0
jgn bodoh jijik fak,1
beli dildo,1
bola nyari kepala gebleg,1
barusan ulama jabar dukung,0
emang pukimak gada otak rendah binatang tengok bakar kontol jijik,1
alas gereja katolik mudah sitir enak udel umat sy gereja katolik flores kelompok umat usir dr dlm gereja keteribata,0
tu gembrot opp muka bulet pipi offside leher liat wkwk,1
muliaty kawan kenal smp ngak sd siswi chinese kelas a a a smp katolik santo petrus teddy lindra,0
dukung agama haram sosial lgbt aku ngejauh temen rangkul biar pelan pelan normal,0
temu presiden jokowi ulama jawa barat,0
dapat tu kena g tgk peti bh pasal isu tarikh pru tu tghh bg dapat kecam federal dana nak boost ekonomi dlm industi ong skrg tranung patut negeri kaya dah ni nak,0
emg diving sarap,1
pertamina rugi bpjs rugi garuda rugi pln rugi mayoritas bumn rugi jalan tol ambruk bensin mahal listrik mahal pajak cekik telor mahal daging mahal beras impor garam impor cangkul impor tka asing rajalela prestas,0
jabar baik mudah an tingkat ekonomi masyarakat sekitar congratulationsgeoparkciletuh congrats,0
ular protein enzim babi,0
isis al qaedah alir khawarij bahaya laten islam umat islam,0
anjir mlam sy kek musang betina birah colmek smpai orgasme skali tp msih sange,1
bhya kata ade armando pengaruh muslim msih awam cuci otak ustadz syaitu mrip nama jil perang pikir lbih bahaya banding perang fisik klau kalah perang fisik kta bsa syahid klh p,0
lho bodo mo jungkir kek bodo instropeksi mawas t,1
